CD_CIDADE;NM_CIDADE;ESTADO
9944;ALFREDO GUEDES;SP
9945;ALFREDO MARCONDES;SP
3308;ALFREDO VASCONCELOS;MG
8680;ALFREDO WAGNER;SC
746;ALGODAO;BA
5551;ALGODAO DE JANDAIRA;PB
5009;ALGODOAL;PA
5901;ALGODOES;PE
834;ALGODOES;CE
747;ALGODOES;BA
5552;ALHANDRA;PB
5902;ALIANCA;PE
10637;ALIANCA DO TOCANTINS;TO
748;ALMADINA;BA
10554;ALMAS;TO
3309;ALMEIDA;MG
5040;ALMEIRIM;PA
3310;ALMENARA;MG
7729;ALMINO AFONSO;RN
6434;ALMIRANTE TAMANDARE;PR
8002;ALMIRANTE TAMANDARE DO SUL;RS
5010;ALMOCO;PA
835;ALMOFALA;CE
2487;ALOANDIA;GO
3311;ALPERCATA;MG
8860;ALPESTRE;RS
3312;ALPINOPOLIS;MG
4578;ALTA FLORESTA;MT
7948;ALTA FLORESTA D'OESTE;RO
5011;ALTA PARA;PA
9946;ALTAIR;SP
5012;ALTAMIRA;PA
1863;ALTAMIRA DO MARANHAO;MA
6417;ALTAMIRA DO PARANA;PR
6418;ALTANEIRA;PR
836;ALTANEIRA;CE
5013;ALTER DO CHAO;PA
3313;ALTEROSA;MG
5903;ALTINHO;PE
9947;ALTINOPOLIS;SP
8341;ALTO ALEGRE;RS
8861;ALTO ALEGRE;RS
9948;ALTO ALEGRE;SP
7971;ALTO ALEGRE;RR
6419;ALTO ALEGRE;PR
6420;ALTO ALEGRE;PR
8221;ALTO ALEGRE;RS
9526;ALTO ALEGRE;SC
6421;ALTO ALEGRE DO IGUACU;PR
1864;ALTO ALEGRE DO MARANHAO;MA
1865;ALTO ALEGRE DO PINDARE;MA
7947;ALTO ALEGRE DOS PARECIS;RO
2488;ALTO ALVORADA;GO
6422;ALTO AMPARO;PR
4579;ALTO ARAGUAIA;MT
9527;ALTO BELA VISTA;SC
4002;ALTO BELO;MG
4580;ALTO BOA VISTA;MT
749;ALTO BONITO;BA
2156;ALTO CALCADO;ES
2157;ALTO CALDEIRAO;ES
3314;ALTO CAPARAO;MG
3315;ALTO CAPIM;MG
2170;ALTO CASTELINHO;ES
4581;ALTO COITE;MT
8617;ALTO DA SERRA;SC
8862;ALTO DA UNIAO;RS
3316;ALTO DE SANTA HELENA;MG
6423;ALTO DO AMPARO;PR
7730;ALTO DO RODRIGUES;RN
8270;ALTO ERVAL NOVO;RS
8222;ALTO FELIZ;RS
4656;ALTO GARCAS;MT
2489;ALTO HORIZONTE;GO
3317;ALTO JEQUITIBA;MG
4657;ALTO JURUENA;MT
1436;ALTO LINDO;CE
6136;ALTO LONGA;PI
3318;ALTO MARANHAO;MG
2142;ALTO MUTUM PRETO;ES
6424;ALTO PARA;PR
4658;ALTO PARAGUAI;MT
7931;ALTO PARAISO;RO
4659;ALTO PARAISO;MT
7385;ALTO PARAISO;PR
2479;ALTO PARAISO DE GOIAS;GO
6333;ALTO PARANA;PR
8863;ALTO PAREDAO;RS
2710;ALTO PARNAIBA;MA
6334;ALTO PIQUIRI;PR
6425;ALTO PORA;PR
9949;ALTO PORA;SP
8864;ALTO RECREIO;RS
3319;ALTO RIO DOCE;MG
2143;ALTO RIO NOVO;ES
6479;ALTO SABIA;PR
6480;ALTO SANTA FE;PR
2134;ALTO SANTA MARIA;ES
1457;ALTO SANTO;CE
6481;ALTO SAO JOAO;PR
3770;ALTO SUCURIU;MS
4660;ALTO TAQUARI;MT
8375;ALTO URUGUAI;RS
8865;ALTO URUGUAI;RS
3320;ALTOLANDIA;MG
6482;ALTONIA;PR
6139;ALTOS;PI
9712;ALTOS VERDES;SE
9950;ALUMINIO;SP
3321;ALVACAO;MG
188;ALVARAES;AM
3322;ALVARENGA;MG
9951;ALVARES FLORENCE;SP
9952;ALVARES MACHADO;SP
9953;ALVARO DE CARVALHO;SP
6018;ALVERNE;PE
9954;ALVINLANDIA;SP
3323;ALVINOPOLIS;MG
10557;ALVORADA;TO
8866;ALVORADA;RS
3324;ALVORADA;MG
5034;ALVORADA;PA
5001;ALVORADA;PA
7932;ALVORADA D'OESTE;RO
3325;ALVORADA DE MINAS;MG
6140;ALVORADA DO GURGUEIA;PI
6289;ALVORADA DO IGUACU;PR
2511;ALVORADA DO NORTE;GO
6395;ALVORADA DO SUL;PR
10346;AMADEU AMARAL;SP
750;AMADO BAHIA;BA
7972;AMAJARI;RR
4554;AMAMBAI;MS
1458;AMANAIARA;CE
837;AMANARI;CE
3326;AMANDA;MG
10347;AMANDABA;SP
4555;AMANDINA;MS
3031;AMANHECE;MG
420;AMANIU;BA
838;AMANIUTUBA;CE
240;AMAPA;AP
2711;AMAPA DO MARANHAO;MA
6483;AMAPORA;PR
5989;AMARAJI;PE
8867;AMARAL FERRADOR;RS
2512;AMARALINA;GO
6141;AMARANTE;PI
2712;AMARANTE DO MARANHAO;MA
3032;AMARANTINA;MG
839;AMARELAS;CE
399;AMARGOSA;BA
1588;AMARO;CE
189;AMATARI;AM
190;AMATURA;AM
242;AMBE;AP
5904;AMEIXAS;PE
400;AMELIA RODRIGUES;BA
10220;AMELIOPOLIS;SP
1567;AMERICA;CE
518;AMERICA DOURADA;BA
10098;AMERICANA;SP
5109;AMERICANO;PA
2513;AMERICANO DO BRASIL;GO
519;AMERICO ALVES;BA
9921;AMERICO BRASILIENSE;SP
9922;AMERICO DE CAMPOS;SP
8868;AMETISTA DO SUL;RS
4556;AMOLAR;MS
1568;AMONTADA;CE
8313;AMORAS;RS
6484;AMORINHA;PR
2514;AMORINOPOLIS;GO
5325;AMPARO;PB
9730;AMPARO;SP
7421;AMPARO;RJ
3006;AMPARO DA SERRA;MG
9675;AMPARO DE SAO FRANCISCO;SE
6485;AMPERE;PR
9857;ANA DIAS;SP
573;ANADIA;AL
401;ANAGE;BA
6486;ANAHY;PR
10647;ANAJANOPOLIS;TO
5110;ANAJAS;PA
2713;ANAJATUBA;MA
9768;ANALANDIA;SP
4661;ANALANDIA DO NORTE;MT
191;ANAMA;AM
10648;ANANAS;TO
5111;ANANINDEUA;PA
9923;ANAPOLIS;SP
2515;ANAPOLIS;GO
4984;ANAPU;PA
2757;ANAPURUS;MA
4557;ANASTACIO;MS
1569;ANAUA;CE
4558;ANAURILANDIA;MS
2114;ANCHIETA;ES
8618;ANCHIETA;SC
402;ANDARAI;BA
9924;ANDES;SP
6487;ANDIRA;PR
3265;ANDIROBA;MG
303;ANDORINHA;BA
6488;ANDORINHAS;PR
3266;ANDRADAS;MG
7422;ANDRADE PINTO;RJ
9925;ANDRADINA;SP
8869;ANDRE DA ROCHA;RS
3267;ANDRELANDIA;MG
3293;ANDREQUICE;MG
574;ANEL;AL
6489;ANGAI;PR
9926;ANGATUBA;SP
3004;ANGATURAMA;MG
3005;ANGELANDIA;MG
4559;ANGELICA;MS
5905;ANGELIM;PE
8619;ANGELINA;SC
2115;ANGELO FRECHIANI;ES
403;ANGICAL;BA
6142;ANGICAL DO PIAUI;PI
10649;ANGICO;TO
404;ANGICO;BA
7731;ANGICOS;RN
3294;ANGICOS DE MINAS;MG
7423;ANGRA DOS REIS;RJ
405;ANGUERA;BA
3295;ANGUERETA;MG
6490;ANGULO;PR
3296;ANGUSTURA;MG
4560;ANHANDUI;MS
2516;ANHANGUERA;GO
9927;ANHEMBI;SP
9765;ANHUMAS;SP
2423;ANICUNS;GO
2758;ANIL;MA
1452;ANIL;CE
1570;ANINGAS;CE
6143;ANISIO DE ABREU;PI
8620;ANITA GARIBALDI;SC
8621;ANITAPOLIS;SC
1571;ANJINHOS;CE
192;ANORI;AM
6697;ANTA;RJ
8870;ANTA GORDA;RS
8622;ANTA GORDA;SC
302;ANTARI;BA
6492;ANTAS;PR
6491;ANTAS;PR
406;ANTAS;BA
5600;ANTONINA;PR
1572;ANTONINA DO NORTE;CE
6144;ANTONIO ALMEIDA;PI
1573;ANTONIO BEZERRA;CE
5601;ANTONIO BRANDAO DE OLIVEIRA;PR
407;ANTONIO CARDOSO;BA
3297;ANTONIO CARLOS;MG
8623;ANTONIO CARLOS;SC
3298;ANTONIO DIAS;MG
1574;ANTONIO DIOGO;CE
3299;ANTONIO DOS SANTOS;MG
3300;ANTONIO FERREIRA;MG
408;ANTONIO GONCALVES;BA
4561;ANTONIO JOAO;MS
8871;ANTONIO KERPEL;RS
4985;ANTONIO LEMOS;PA
1575;ANTONIO MARQUES;CE
7853;ANTONIO MARTINS;RN
5602;ANTONIO OLINTO;PR
3301;ANTONIO PEREIRA;MG
8922;ANTONIO PRADO;RS
3302;ANTONIO PRADO DE MINAS;MG
3303;ANTUNES;MG
575;ANUM NOVO;AL
576;ANUM VELHO;AL
5603;ANUNCIACAO;PR
2116;ANUTIBA;ES
9928;APARECIDA;SP
5326;APARECIDA;PB
2388;APARECIDA;GO
9929;APARECIDA D'OESTE;SP
2389;APARECIDA DE GOIANIA;GO
2517;APARECIDA DE GOIAS;GO
3304;APARECIDA DE MINAS;MG
9931;APARECIDA DE SAO MANUEL;SP
9932;APARECIDA DO BONITO;SP
6338;APARECIDA DO IVAI;PR
5604;APARECIDA DO OESTE;PR
2390;APARECIDA DO RIO CLARO;GO
2391;APARECIDA DO RIO DOCE;GO
10650;APARECIDA DO RIO NEGRO;TO
3771;APARECIDA DO TABOADO;MS
6698;APERIBE;RJ
4986;APEU;PA
5605;APIABA;PR
2117;APIACA;ES
4662;APIACAS;MT
9933;APIAI;SP
9934;APIAI-MIRIM;SP
2759;APICUM-ACU;MA
4987;APINAGES;PA
10651;APINAJE;TO
8624;APIUNA;SC
7838;APODI;RN
410;APORA;BA
2392;APORE;GO
243;APOREMA;AP
5906;APOTI;PE
1576;APRAZIVEL;CE
411;APUAREMA;BA
5606;APUCARANA;PR
193;APUI;AM
1577;APUIARES;CE
9672;AQUIDABA;SE
6286;AQUIDABAN;PR
3772;AQUIDAUANA;MS
1578;AQUINOPOLIS;CE
1454;AQUIRAZ;CE
9896;ARABA;SP
10328;ARABELA;SP
9360;ARABUTA;SC
10329;ARACACU;SP
5327;ARACAGI;PB
3305;ARACAI;MG
10330;ARACAIBA;SP
2981;ARACAJI DE MINAS;MG
9713;ARACAJU;SE
10331;ARACARIGUAMA;SP
412;ARACAS;BA
1455;ARACAS;CE
1579;ARACATI;CE
3306;ARACATI DE MINAS;MG
1580;ARACATIACU;CE
1581;ARACATIARA;CE
2118;ARACATIBA;ES
413;ARACATU;BA
10332;ARACATUBA;SP
2119;ARACE;ES
414;ARACI;BA
3199;ARACITABA;MG
1582;ARACOIABA;CE
5907;ARACOIABA;PE
10333;ARACOIABA DA SERRA;SP
2120;ARACRUZ;ES
2393;ARACU;GO
3200;ARACUAI;MG
2121;ARACUI;ES
10652;ARAGACUI;TO
2394;ARAGARCAS;GO
2395;ARAGOIANIA;GO
10653;ARAGOMINAS;TO
10654;ARAGUACEMA;TO
10558;ARAGUACU;TO
2122;ARAGUAIA;ES
4663;ARAGUAIANA;MT
10545;ARAGUAINA;TO
4664;ARAGUAINHA;MT
10546;ARAGUANA;TO
2760;ARAGUANA;MA
2396;ARAGUAPAZ;GO
3307;ARAGUARI;MG
10559;ARAGUATINS;TO
2761;ARAIOSES;MA
1583;ARAJARA;CE
4562;ARAL MOREIRA;MS
415;ARAMARI;BA
8923;ARAMBARE;RS
2762;ARAME;MA
10334;ARAMINA;SP
3264;ARAMIRIM;MG
1584;ARANAU;CE
10335;ARANDU;SP
3083;ARANHA;MG
6287;ARANHA;PR
2373;ARANTINA;GO
3084;ARANTINA;MG
1585;ARAPA;CE
1586;ARAPARI;CE
10336;ARAPEI;SP
577;ARAPIRACA;AL
416;ARAPIRANGA;BA
4988;ARAPIXUNA;PA
10560;ARAPOEMA;TO
3829;ARAPONGA;MG
6460;ARAPONGAS;PR
3830;ARAPORA;MG
1587;ARAPORANGA;CE
6461;ARAPOTI;PR
3693;ARAPUA;MS
3831;ARAPUA;MG
6462;ARAPUA;PR
6463;ARAPUAN;PR
4665;ARAPUTANGA;MT
4989;ARAQUAIM;PA
9361;ARAQUARI;SC
1566;ARAQUEM;CE
5318;ARARA;PB
2123;ARARAI;ES
9362;ARARANGUA;SC
6464;ARARAPIRA;PR
10337;ARARAQUARA;SP
175;ARARAS;AM
10338;ARARAS;SP
1675;ARARENDA;CE
2763;ARARI;MA
8924;ARARICA;RS
1676;ARARIPE;CE
5908;ARARIPINA;PE
1556;ARARIUS;CE
7424;ARARUAMA;RJ
6465;ARARUNA;PR
5503;ARARUNA;PB
417;ARATACA;BA
1557;ARATAMA;CE
8925;ARATIBA;RS
1677;ARATICUM;CE
1678;ARATUBA;CE
418;ARATUIPE;BA
9714;ARAUA;SE
6466;ARAUCARIA;PR
3832;ARAUJOS;MG
3833;ARAUNA;MG
3834;ARAXA;MG
10339;ARAXAS;SP
10340;ARCADAS;SP
3835;ARCANGELO;MG
3836;ARCEBURGO;MG
8926;ARCO VERDE;RS
4990;ARCO-IRIS;PA
8927;ARCO-IRIS;RS
10341;ARCO-IRIS;SP
3253;ARCOS;MG
5909;ARCOVERDE;PE
3254;AREADO;MG
3817;AREADO;MS
7425;AREAL;RJ
9763;AREALVA;SP
5504;AREIA;PB
9715;AREIA BRANCA;SE
7854;AREIA BRANCA;RN
9716;AREIA BRANCA;SE
6467;AREIA BRANCA DOS ASSIS;PR
5505;AREIA DE BARAUNAS;PB
5506;AREIAL;PB
1679;AREIAL;CE
4991;AREIAS;PA
9866;AREIAS;SP
6022;AREIAS;PE
5507;AREIAS;PB
419;AREIAS;BA
6468;AREIAS;PR
9764;AREIOPOLIS;SP
398;AREMBEPE;BA
4666;ARENAPOLIS;MT
2397;ARENOPOLIS;GO
1422;ARERE;CE
7855;AREZ;RN
3255;ARGENITA;MG
3256;ARGIRITA;MG
507;ARGOIM;BA
2124;ARGOLAS;ES
508;ARGOLO;BA
144;ARIAU;AM
194;ARIAU;AM
509;ARIBICE;BA
3257;ARICANDUVA;MG
6469;ARICANDUVA;PR
3258;ARINOS;MG
5910;ARIPIBU;PE
4875;ARIPUANA;MT
7933;ARIQUEMES;RO
9789;ARIRANHA;SP
6470;ARIRANHA DO IVAI;PR
244;ARIRI;AP
10342;ARIRI;SP
1680;ARISCOS DOS MARIANOS;CE
3259;ARISTIDES BATISTA;MG
510;ARITAGUA;BA
5911;ARIZONA;PE
8126;ARLINDO;RS
7426;ARMACAO DOS BUZIOS;RJ
9363;ARMAZEM;SC
1681;ARNEIROZ;CE
9364;ARNOPOLIS;SC
6241;AROAZES;PI
6471;AROEIRA;PR
8405;AROEIRAS;RS
1682;AROEIRAS;CE
5508;AROEIRAS;PB
6214;AROEIRAS DO ITAIM;PI
6472;ARQUIMEDES;PR
6223;ARRAIAL;PI
279;ARRAIAL D'AJUDA;BA
7427;ARRAIAL DO CABO;RJ
10644;ARRAIAS;TO
8132;ARROIO BONITO;RS
8928;ARROIO CANOAS;RS
8929;ARROIO DO MEIO;RS
8395;ARROIO DO OURO;RS
8930;ARROIO DO PADRE;RS
8931;ARROIO DO SAL;RS
