CD_CIDADE;NM_CIDADE;ESTADO
10088;CORDEIROPOLIS;SP
310;CORDEIROS;BA
8468;CORDILHEIRA;RS
8641;CORDILHEIRA ALTA;SC
3380;CORDISBURGO;MG
3072;CORDISLANDIA;MG
1697;COREAU;CE
5477;COREMAS;PB
3755;CORGUINHO;MS
311;CORIBE;BA
3073;CORINTO;MG
6598;CORNELIO PROCOPIO;PR
7490;COROA GRANDE;RJ
3381;COROACI;MG
10089;COROADOS;SP
8469;COROADOS;RS
2724;COROATA;MA
3382;COROMANDEL;MG
8470;CORONEL BARROS;RS
8471;CORONEL BICACO;RS
6599;CORONEL DOMINGOS SOARES;PR
7721;CORONEL EZEQUIEL;RN
3383;CORONEL FABRICIANO;MG
8472;CORONEL FINZITO;RS
6600;CORONEL FIRMINO MARTINS;PR
8642;CORONEL FREITAS;SC
9977;CORONEL GOULART;SP
7839;CORONEL JOAO PESSOA;RN
312;CORONEL JOAO SA;BA
6062;CORONEL JOSE DIAS;PI
9978;CORONEL MACEDO;SP
5478;CORONEL MAIA;PB
8643;CORONEL MARTINS;SC
3245;CORONEL MURTA;MG
3473;CORONEL PACHECO;MG
8473;CORONEL PILAR;RS
4623;CORONEL PONCE;MT
8347;CORONEL PRESTES;RS
3756;CORONEL SAPUCAIA;MS
8154;CORONEL TEIXEIRA;RS
6601;CORONEL VIVIDA;PR
3474;CORONEL XAVIER CHAVES;MG
205;CORRE AGUA;AP
7491;CORREAS;RJ
9747;CORREDEIRA;SP
1423;CORREGO;CE
7492;CORREGO DA PRATA;RJ
3475;CORREGO DANTA;MG
7722;CORREGO DE SAO MATEUS;RN
3476;CORREGO DO BARRO;MG
3477;CORREGO DO BOM JESUS;MG
7493;CORREGO DO OURO;RJ
2562;CORREGO DO OURO;GO
3478;CORREGO DO OURO;MG
3147;CORREGO DOS BERNARDES;MG
3252;CORREGO DOS BORGES;MG
1698;CORREGO DOS FERNANDES;CE
3251;CORREGO DOS MELQUIADES;MG
2239;CORREGO DOS MONOS;ES
3479;CORREGO FUNDO;MG
2158;CORREGO MOACYR AVIDOS;ES
3352;CORREGO NOVO;MG
9748;CORREGO RICO;SP
2563;CORREGO RICO;GO
3353;CORREGOS;MG
3354;CORREIA DE ALMEIDA;MG
6865;CORREIA DE FREITAS;PR
8644;CORREIA PINTO;SC
10672;CORREINHA;TO
6063;CORRENTE;PI
1563;CORRENTE;CE
5807;CORRENTES;PE
7494;CORRENTEZAS;RJ
313;CORRENTINA;BA
3355;CORRENTINHO;MG
314;CORTA MAO;BA
8454;CORTADO;RS
5808;CORTES;PE
3757;CORUMBA;MS
2564;CORUMBA DE GOIAS;GO
2565;CORUMBAIBA;GO
9979;CORUMBATAI;SP
6866;CORUMBATAI DO SUL;PR
7900;CORUMBIARA;RO
8645;CORUPA;SC
570;CORURIPE;AL
650;CORURIPE DA CAL;AL
6867;CORVO;PR
9980;COSMOPOLIS;SP
9981;COSMORAMA;SP
7625;COSTA DA CADEIA;RS
9982;COSTA MACHADO;SP
7949;COSTA MARQUES;RO
4519;COSTA RICA;MS
3069;COSTA SENA;MG
7626;COSTAO;RS
3356;COSTAS;MG
3357;COSTAS DA MANTIQUEIRA;MG
6868;COSTEIRA;PR
2240;COTAXE;ES
315;COTEGIPE;BA
9983;COTIA;SP
7627;COTIPORA;RS
4624;COTREL;MT
4625;COTRIGUACU;MT
5809;COURO D'ANTAS;PE
10673;COUTO DE MAGALHAES;TO
3358;COUTO DE MAGALHAES DE MINAS;MG
316;COUTOS;BA
6869;COVO;PR
7628;COXILHA;RS
8335;COXILHA DO LAGEADO;RS
7629;COXILHA GRANDE;RS
6870;COXILHA RICA;PR
8073;COXILHA SECA;RS
4520;COXIM;MS
4626;COXIPO ACU;MT
4888;COXIPO DA PONTE;MT
4889;COXIPO DO OURO;MT
5479;COXIXOLA;PB
7630;CR-1;RS
627;CRAIBAS;AL
10674;CRAOLANDIA;TO
1699;CRATEUS;CE
1700;CRATO;CE
9903;CRAVINHOS;SP
317;CRAVOLANDIA;BA
8646;CRICIUMA;SC
1701;CRIOULOS;CE
5054;CRIPURIZAO;PA
5055;CRIPURIZINHO;PA
3359;CRISOLIA;MG
3360;CRISOLITA;MG
318;CRISOPOLIS;BA
3361;CRISPIM JAQUES;MG
7631;CRISSIUMAL;RS
1702;CRISTAIS;CE
3070;CRISTAIS;MG
9904;CRISTAIS PAULISTA;SP
7632;CRISTAL;RS
2241;CRISTAL DO NORTE;ES
7633;CRISTAL DO SUL;RS
10675;CRISTALANDIA;TO
319;CRISTALANDIA;BA
6064;CRISTALANDIA DO PIAUI;PI
5810;CRISTALIA;PE
3071;CRISTALIA;MG
2566;CRISTALINA;GO
3765;CRISTALINA;MS
3362;CRISTIANO OTONI;MG
2567;CRISTIANOPOLIS;GO
3363;CRISTINA;MG
9676;CRISTINAPOLIS;SE
6065;CRISTINO CASTRO;PI
4890;CRISTINOPOLIS;MT
4891;CRISTO REI;MT
6872;CRISTO REI;PR
6871;CRISTO REI;PR
320;CRISTOPOLIS;BA
7634;CRIUVA;RS
10676;CRIXAS;TO
2424;CRIXAS;GO
10677;CRIXAS DO TOCANTINS;TO
1705;CROATA;CE
1703;CROATA;CE
1704;CROATA;CE
2568;CROMINIA;GO
6036;CRUANJI;PE
2202;CRUBIXA;ES
3455;CRUCILANDIA;MG
321;CRUSSAI;BA
1706;CRUXATI;CE
1708;CRUZ;CE
1707;CRUZ;CE
8443;CRUZ ALTA;RS
440;CRUZ DAS ALMAS;BA
9984;CRUZ DAS POSSES;SP
1709;CRUZ DE PEDRA;CE
5480;CRUZ DO ESPIRITO SANTO;PB
6873;CRUZ MACHADO;PR
9985;CRUZALIA;SP
8444;CRUZALTENSE;RS
3766;CRUZALTINA;MS
8085;CRUZALTINHA;RS
1710;CRUZEIRINHO;CE
9986;CRUZEIRO;SP
8445;CRUZEIRO;RS
3456;CRUZEIRO DA FORTALEZA;MG
6978;CRUZEIRO DO IGUACU;PR
5976;CRUZEIRO DO NORDESTE;PE
2569;CRUZEIRO DO NORTE;GO
6979;CRUZEIRO DO NORTE;PR
6980;CRUZEIRO DO OESTE;PR
8446;CRUZEIRO DO SUL;RS
535;CRUZEIRO DO SUL;AC
6981;CRUZEIRO DO SUL;PR
3457;CRUZEIRO DOS PEIXOTOS;MG
6037;CRUZES;PE
7831;CRUZETA;RN
3458;CRUZILIA;MG
3010;CRUZINHA;MG
6982;CRUZMALTINA;PR
3459;CUBAS;MG
9987;CUBATAO;SP
5481;CUBATI;PB
128;CUCUI;AM
4892;CUIABA;MT
9988;CUIABA PAULISTA;SP
5811;CUIAMBUCA;PE
5933;CUIEIRAS;PE
5482;CUITE;PB
5376;CUITE DE MAMANGUAPE;PB
3460;CUITE VELHO;MG
5377;CUITEGI;PB
5056;CUIU-CUIU;PA
7909;CUJUBIM;RO
4521;CULTURAMA;MS
2570;CUMARI;GO
5812;CUMARU;PE
4976;CUMARU DO NORTE;PA
9678;CUMBE;SE
441;CUMURUXATIBA;BA
211;CUNANI;AP
808;CUNCAS;CE
9989;CUNHA;SP
8647;CUNHA PORA;SC
6639;CUNHAMBEBE;RJ
322;CUNHANGI;BA
6983;CUNHAPORANGA;PR
8648;CUNHATAI;SC
3461;CUPARAQUE;MG
4522;CUPINS;MS
5813;CUPIRA;PE
5378;CUPISSURA;PB
323;CURACA;BA
809;CURATIS;CE
212;CURIAU;AP
6249;CURIMATA;PI
3462;CURIMATAI;MG
5057;CURIONOPOLIS;PA
6577;CURITIBA;PR
9447;CURITIBANOS;SC
6578;CURIUVA;PR
6250;CURRAIS;PI
7832;CURRAIS NOVOS;RN
8150;CURRAL ALTO;RS
5379;CURRAL DE CIMA;PB
3463;CURRAL DE DENTRO;MG
324;CURRAL FALSO;BA
6066;CURRAL NOVO DO PIAUI;PI
5814;CURRAL QUEIMADO;PE
5380;CURRAL VELHO;PB
1466;CURRAL VELHO;CE
5058;CURRALINHO;PA
6067;CURRALINHOS;PI
5059;CURUA;PA
5060;CURUAI;PA
5061;CURUCA;PA
6579;CURUCACA;PR
5062;CURUCAMBABA;PA
8151;CURUMIM;RS
5063;CURUMU;PA
2725;CURUPA;MA
9990;CURUPA;SP
810;CURUPIRA;CE
2726;CURURUPU;MA
2727;CURVA GRANDE;MA
4893;CURVELANDIA;MT
3464;CURVELO;MG
5815;CUSTODIA;PE
811;CUSTODIO;CE
2728;CUSTODIO LIMA;MA
213;CUTIAS;AP
8631;DAL PAI;SC
9991;DALAS;SP
9448;DALBERGIA;SC
8447;DALTRO FILHO;RS
8448;DALTRO FILHO;RS
8449;DALTRO FILHO;RS
2571;DAMIANOPOLIS;GO
5381;DAMIAO;PB
1918;DAMIAO CARNEIRO;CE
2572;DAMOLANDIA;GO
812;DANIEL DE QUEIROS;CE
299;DANTELANDIA;BA
10678;DARCINOPOLIS;TO
8450;DARIO LASSANCE;RS
482;DARIO MEIRA;BA
3214;DATAS;MG
8451;DAVID CANABARRO;RS
2573;DAVIDOPOLIS;GO
2554;DAVINOPOLIS;GO
2798;DAVINOPOLIS;MA
4523;DEBRASA;MS
4894;DEL RIOS;MT
3215;DELFIM MOREIRA;MG
8452;DELFINA;RS
483;DELFINO;BA
3465;DELFINOPOLIS;MG
628;DELMIRO GOUVEIA;AL
813;DELMIRO GOUVEIA;CE
3466;DELTA;MG
7915;DEMARCACAO;RO
6220;DEMERVAL LOBAO;PI
4895;DENISE;MT
4524;DEODAPOLIS;MS
8453;DEODORO;RS
7606;DEPOSITO;RS
3467;DEPUTADO AUGUSTO CLEMENTINO;MG
814;DEPUTADO IRAPUAN PINHEIRO;CE
6580;DEPUTADO JOSE AFONSO;PR
3468;DERRIBADINHA;MG
7607;DERRUBADAS;RS
9992;DESCALVADO;SP
9482;DESCANSO;SC
3067;DESCOBERTO;MG
687;DESCOBERTO;BA
3068;DESEMBARGADOR OTONI;MG
3469;DESEMBOQUE;MG
2203;DESENGANO;ES
815;DESERTO;CE
6581;DESPIQUE;PR
8181;DESPRAIADO;RS
5382;DESTERRO;PB
3470;DESTERRO DE ENTRE RIOS;MG
3471;DESTERRO DO MELO;MG
6582;DEZ DE MAIO;PR
7608;DEZESSEIS DE NOVEMBRO;RS
9824;DIADEMA;SP
5383;DIAMANTE;PB
6583;DIAMANTE D'OESTE;PR
3472;DIAMANTE DE UBA;MG
6584;DIAMANTE DO NORTE;PR
6585;DIAMANTE DO SUL;PR
3440;DIAMANTINA;MG
4896;DIAMANTINO;MT
10679;DIANOPOLIS;TO
3441;DIAS;MG
688;DIAS COELHO;BA
689;DIAS D'AVILA;BA
3442;DIAS TAVARES;MG
7609;DILERMANDO DE AGUIAR;RS
690;DIOGENES SAMPAIO;BA
3443;DIOGO DE VASCONCELOS;MG
2533;DIOLANDIA;GO
3216;DIONISIO;MG
9483;DIONISIO CERQUEIRA;SC
2534;DIORAMA;GO
9993;DIRCE REIS;SP
10068;DIRCEU;SP
6221;DIRCEU ARCOVERDE;PI
9665;DIVINA PASTORA;SE
3217;DIVINESIA;MG
3444;DIVINO;MG
7610;DIVINO;RS
3445;DIVINO DAS LARANJEIRAS;MG
2204;DIVINO DE SAO LOURENCO;ES
3446;DIVINO DE VIRGOLANDIA;MG
3447;DIVINO ESPIRITO SANTO;MG
2149;DIVINO ESPIRITO SANTO;ES
10069;DIVINOLANDIA;SP
3448;DIVINOLANDIA DE MINAS;MG
3449;DIVINOPOLIS;MG
2535;DIVINOPOLIS DE GOIAS;GO
10680;DIVINOPOLIS DO TOCANTINS;TO
3128;DIVISA ALEGRE;MG
3065;DIVISA NOVA;MG
3066;DIVISOPOLIS;MG
2150;DJALMA COUTINHO;ES
10070;DOBRADA;SP
6586;DOCE GRANDE;PR
10071;DOIS CORREGOS;SP
3450;DOIS DE ABRIL;MG
7611;DOIS IRMAOS;RS
6588;DOIS IRMAOS;PR
6587;DOIS IRMAOS;PR
7612;DOIS IRMAOS DAS MISSOES;RS
3758;DOIS IRMAOS DO BURITI;MS
10681;DOIS IRMAOS DO TOCANTINS;TO
7613;DOIS LAJEADOS;RS
5816;DOIS LEOES;PE
6589;DOIS MARCOS;PR
629;DOIS RIACHOS;AL
6590;DOIS VIZINHOS;PR
10072;DOLCINOPOLIS;SP
4897;DOM AQUINO;MT
691;DOM BASILIO;BA
3451;DOM BOSCO;MG
3218;DOM CAVATI;MG
5064;DOM ELISEU;PA
6271;DOM EXPEDITO LOPES;PI
7615;DOM FELICIANO;RS
7616;DOM FELICIANO;RS
6272;DOM INOCENCIO;PI
3166;DOM JOAQUIM;MG
3452;DOM LARA;MG
816;DOM LEME;CE
692;DOM MACEDO COSTA;BA
817;DOM MAURICIO;CE
3453;DOM MODESTO;MG
7617;DOM PEDRITO;RS
2799;DOM PEDRO;MA
8148;DOM PEDRO DE ALCANTARA;RS
818;DOM QUINTINO;CE
6977;DOM RODRIGO;PR
3454;DOM SILVERIO;MG
3439;DOM VICOSO;MG
10073;DOMELIA;SP
2536;DOMICIANO RIBEIRO;GO
1546;DOMINGOS DA COSTA;CE
2205;DOMINGOS MARTINS;ES
6113;DOMINGOS MOURAO;PI
2206;DONA AMERICA;ES
9484;DONA EMMA;SC
3420;DONA EUZEBIA;MG
8149;DONA FRANCISCA;RS
5384;DONA INES;PB
693;DONA MARIA;BA
7618;DONA OTILIA;RS
1778;DONATO;CE
6747;DORANDIA;RJ
3421;DORES DA VITORIA;MG
3422;DORES DE CAMPOS;MG
3063;DORES DE GUANHAES;MG
6748;DORES DE MACABU;RJ
3064;DORES DO INDAIA;MG
3423;DORES DO PARAIBUNA;MG
2207;DORES DO RIO PRETO;ES
3424;DORES DO TURVO;MG
3425;DORESOPOLIS;MG
7085;DORIZON;PR
5817;DORMENTES;PE
8362;DOURADILHO;RS
4525;DOURADINA;MS
7086;DOURADINA;PR
3426;DOURADINHO;MG
7619;DOURADO;RS
1779;DOURADO;CE
1413;DOURADO;CE
10074;DOURADO;SP
3427;DOURADOQUARA;MG
4526;DOURADOS;MS
7087;DOUTOR ANTONIO PARANHOS;PR
6961;DOUTOR CAMARGO;PR
3428;DOUTOR CAMPOLINA;MG
7621;DOUTOR EDGARDO PEREIRA VELHO;RS
6749;DOUTOR ELIAS;RJ
6962;DOUTOR ERNESTO;PR
6750;DOUTOR LORETI;RJ
3429;DOUTOR LUND;MG
7622;DOUTOR MAURICIO CARDOSO;RS
6381;DOUTOR OLIVEIRA CASTRO;PR
9485;DOUTOR PEDRINHO;SC
7623;DOUTOR RICARDO;RS
7723;DOUTOR SEVERIANO;RN
6963;DOUTOR ULYSSES;PR
2537;DOVERLANDIA;GO
10075;DRACENA;SP
9745;DUARTINA;SP
6751;DUAS BARRAS;RJ
2208;DUAS BARRAS;ES
694;DUAS BARRAS DO MORRO;BA
5385;DUAS ESTRADAS;PB
10682;DUERE;TO
9746;DUMONT;SP
10076;DUPLO CEU;SP
2729;DUQUE BACELAR;MA
6752;DUQUE DE CAXIAS;RJ
3430;DURANDE;MG
8024;DURASNAL;RS
1780;EBRON;CE
10077;ECHAPORA;SP
2209;ECOPORANGA;ES
2538;EDEALINA;GO
2539;EDEIA;GO
3431;EDGARD MELO;MG
2421;EDILANDIA;GO
6964;EDUARDO XAVIER DA SILVA;PR
147;EIRUNEPE;AM
4527;ELDORADO;MS
10078;ELDORADO;SP
7624;ELDORADO DO SUL;RS
5041;ELDORADO DOS CARAJAS;PA
6243;ELESBAO VELOSO;PI
7605;ELETRA;RS
10079;ELEUTERIO;SP
10080;ELIAS FAUSTO;SP
6114;ELISEU MARTINS;PI
10081;ELISIARIO;SP
695;ELISIO MEDRADO;BA
6306;ELIZA;PR
3432;ELOI MENDES;MG
1405;EMA;CE
1781;EMA;CE
5386;EMAS;PB
1782;EMATUBA;CE
10082;EMBAUBA;SP
3433;EMBOABAS;MG
6965;EMBOGUACU;PR
6966;EMBOQUE;PR
6967;EMBOQUE;PR
5065;EMBORAI;PA
10083;EMBU DAS ARTES;SP
10084;EMBU-GUACU;SP
9834;EMILIANOPOLIS;SP
804;ENCANTADO;CE
8956;ENCANTADO;RS
6968;ENCANTADO D'OESTE;PR
7826;ENCANTO;RN
8957;ENCRUZILHADA;RS
6970;ENCRUZILHADA;PR
696;ENCRUZILHADA;BA
6969;ENCRUZILHADA;PR
8958;ENCRUZILHADA DO SUL;RS
8205;ENCRUZILHADA SAO SEBASTIAO;RS
6382;ENEAS MARQUES;PR
10085;ENEIDA;SP
5387;ENGENHEIRO AVIDOS;PB
10086;ENGENHEIRO BALDUINO;SP
6383;ENGENHEIRO BELTRAO;PR
3434;ENGENHEIRO CALDAS;MG
10087;ENGENHEIRO COELHO;SP
3435;ENGENHEIRO CORREIA;MG
3027;ENGENHEIRO DOLABELA;MG
697;ENGENHEIRO FRANCA;BA
805;ENGENHEIRO JOAO TOME;CE
806;ENGENHEIRO JOSE LOPES;CE
8091;ENGENHEIRO LUIZ ENGLERT;RS
10067;ENGENHEIRO MAIA;SP
3436;ENGENHEIRO NAVARRO;MG
6753;ENGENHEIRO PASSOS;RJ
6754;ENGENHEIRO PAULO DE FRONTIN;RJ
6755;ENGENHEIRO PEDREIRA;RJ
698;ENGENHEIRO PONTES;BA
10048;ENGENHEIRO SCHMITT;SP
3437;ENGENHEIRO SCHNOOR;MG
4615;ENGENHO;MT
3438;ENGENHO DO RIBEIRO;MG
8082;ENGENHO GRANDE;RS
3419;ENGENHO NOVO;MG
807;ENGENHO VELHO;CE
9486;ENGENHO VELHO;SC
8959;ENGENHO VELHO;RS
4597;ENGENHO VELHO;MT
9487;ENSEADA DE BRITO;SC
3649;ENTRE FOLHAS;MG
9488;ENTRE RIOS;SC
699;ENTRE RIOS;BA
4934;ENTRE RIOS;MT
6971;ENTRE RIOS;PR
4956;ENTRE RIOS;MT
3650;ENTRE RIOS DE MINAS;MG
6972;ENTRE RIOS DO OESTE;PR
8960;ENTRE RIOS DO SUL;RS
7593;ENTRE-IJUIS;RS
630;ENTREMONTES;AL
7594;ENTREPELADO;RS
5818;ENTRONCAMENTO;PE
148;ENVIRA;AM
8035;ENXOVIA;RS
3651;EPAMINONDAS OTONI;MG
536;EPITACIOLANDIA;AC
7706;EQUADOR;RN
7595;EREBANGO;RS
7596;ERECHIM;RS
1547;ERERE;CE
700;ERICO CARDOSO;BA
3652;ERMIDINHA;MG
9489;ERMO;SC
7597;ERNESTINA;RS
7598;ERNESTO ALVES;RS
7599;ERVAL GRANDE;RS
8228;ERVAL SECO;RS
8719;ERVAL VELHO;SC
3653;ERVALIA;MG
5819;ESCADA;PE
10593;ESCONDIDO;TO
10049;ESMERALDA;SP
8235;ESMERALDA;RS
3654;ESMERALDAS;MG
3655;ESMERALDAS DE FERROS;MG
1548;ESPACINHA;CE
3056;ESPERA FELIZ;MG
5388;ESPERANCA;PB
1757;ESPERANCA;CE
8232;ESPERANCA;RS
10050;ESPERANCA D'OESTE;SP
6973;ESPERANCA DO NORTE;PR
7600;ESPERANCA DO SUL;RS
6974;ESPERANCA NOVA;PR
6115;ESPERANTINA;PI
10594;ESPERANTINA;TO
2703;ESPERANTINOPOLIS;MA
10051;ESPIGAO;SP
7601;ESPIGAO;RS
7602;ESPIGAO ALTO;RS
6975;ESPIGAO ALTO DO IGUACU;PR
7910;ESPIGAO DO OESTE;RO
8720;ESPINILHO;SC
7603;ESPINILHO GRANDE;RS
3062;ESPINOSA;MG
7749;ESPIRITO SANTO;RN
5820;ESPIRITO SANTO;PE
8146;ESPIRITO SANTO;RS
6976;ESPIRITO SANTO;PR
3656;ESPIRITO SANTO DO DOURADO;MG
10052;ESPIRITO SANTO DO PINHAL;SP
5173;ESPIRITO SANTO DO TAUA;PA
10053;ESPIRITO SANTO DO TURVO;SP
484;ESPLANADA;BA
8147;ESPUMOSO;RS
7604;ESQUINA ARAUJO;RS
8955;ESQUINA BOM SUCESSO;RS
8377;ESQUINA BRASIL NEVES;RS
8937;ESQUINA GAUCHA;RS
9064;ESQUINA GAUCHA;RS
8216;ESQUINA IPIRANGA;RS
8217;ESQUINA PIRATINI;RS
8938;ESTACAO;RS
9490;ESTACAO COCAL;SC
7065;ESTACAO GENERAL LUCIO;PR
7066;ESTACAO ROCA NOVA;PR
9679;ESTANCIA;SE
8939;ESTANCIA GRANDE;RS
8127;ESTANCIA NOVA;RS
8119;ESTANCIA VELHA;RS
8940;ESTANCIA VELHA;RS
2704;ESTANDARTE;MA
8941;ESTEIO;RS
3657;ESTEIOS;MG
8942;ESTEIRA;RS
3658;ESTEVAO DE ARAUJO;MG
182;ESTIRAO DO EQUADOR;AM
3659;ESTIVA;MG
10054;ESTIVA GERBI;SP
6726;ESTRADA NOVA;RJ
2954;ESTREITO;MA
8943;ESTREITO;RS
8944;ESTRELA;RS
8945;ESTRELA;RS
10055;ESTRELA D'OESTE;SP
3539;ESTRELA DA BARRA;MG
3540;ESTRELA DALVA;MG
631;ESTRELA DE ALAGOAS;AL
3541;ESTRELA DE JORDANIA;MG
3542;ESTRELA DO INDAIA;MG
4957;ESTRELA DO LESTE;MT
2540;ESTRELA DO NORTE;GO
2210;ESTRELA DO NORTE;ES
10056;ESTRELA DO NORTE;SP
3543;ESTRELA DO SUL;MG
8946;ESTRELA VELHA;RS
6727;EUCLIDELANDIA;RJ
439;EUCLIDES DA CUNHA;BA
9743;EUCLIDES DA CUNHA PAULISTA;SP
8947;EUGENIO DE CASTRO;RS
9744;EUGENIO DE MELO;SP
3416;EUGENOPOLIS;MG
701;EUNAPOLIS;BA
7067;EUROPA;PR
1759;EUSEBIO;CE
3417;EUXENITA;MG
7068;EUZEBIO DE OLIVEIRA;PR
8948;EVANGELISTA;RS
8310;EVARISTO;RS
3418;EWBANK DA CAMARA;MG
3648;EXPEDICIONARIO ALICIO;MG
3627;EXTRACAO;MG
7959;EXTREMA;RO
3628;EXTREMA;MG
7750;EXTREMOZ;RN
5821;EXU;PE
5579;FAGUNDES;PB
8949;FAGUNDES VARELA;RS
2449;FAINA;GO
1478;FAISCA;CE
7069;FAISQUEIRA;PR
6756;FALCAO;RJ
3629;FAMA;MG
8950;FAO;RS
3274;FARIA;MG
8951;FARIA LEMOS;RS
3630;FARIA LEMOS;MG
3631;FARIAS;MG
1760;FARIAS BRITO;CE
8952;FARINHAS;RS
5174;FARO;PA
7070;FAROL;PR
8953;FARRAPOS;RS
598;FARRINHEIRA;AL
8954;FARROUPILHA;RS
10057;FARTURA;SP
2211;FARTURA;ES
6116;FARTURA DO PIAUI;PI
10638;FATIMA;TO
456;FATIMA;BA
1761;FATIMA;CE
5389;FATIMA;PB
10058;FATIMA;SP
4528;FATIMA DO SUL;MS
10059;FATIMA PAULISTA;SP
4598;FAVAL;MT
1498;FAVEIRA;CE
7071;FAXINA;PR
7072;FAXINAL;PR
8234;FAXINAL;RS
8218;FAXINAL;RS
7073;FAXINAL DO CEU;PR
8145;FAXINAL DO SOTURNO;RS
7074;FAXINAL DOS ELIAS;PR
9491;FAXINAL DOS GUEDES;SC
8184;FAXINAL PRETO;RS
7075;FAXINAL SANTA CRUZ;PR
9050;FAXINALZINHO;RS
8249;FAZENDA COLORADO;RS
8202;FAZENDA DAS LARANJEIRAS;RS
4599;FAZENDA DE CIMA;MT
7076;FAZENDA DO BRIGADEIRO;PR
6379;FAZENDA DOS BARBOSAS;PR
9051;FAZENDA FIALHO;RS
8095;FAZENDA FIALHO;RS
2212;FAZENDA GUANDU;ES
6380;FAZENDA JANGADA;PR
5822;FAZENDA NOVA;PE
5390;FAZENDA NOVA;PB
2450;FAZENDA NOVA;GO
7077;FAZENDA RIO GRANDE;PR
7078;FAZENDA SALMO 23;PR
9052;FAZENDA SOUZA;RS
10060;FAZENDA VELHA;SP
9053;FAZENDA VILANOVA;RS
9492;FAZENDA ZANDAVALLI;SC
214;FAZENDINHA;AP
7079;FAZENDINHA;PR
3632;FECHADOS;MG
537;FEIJO;AC
179;FEIJOAL;AM
702;FEIRA DA MATA;BA
703;FEIRA DE SANTANA;BA
632;FEIRA GRANDE;AL
9674;FEIRA NOVA;SE
5858;FEIRA NOVA;PE
2705;FEIRA NOVA DO MARANHAO;MA
1762;FEITICEIRO;CE
5823;FEITORIA;PE
1763;FEITOSA;CE
3633;FELICINA;MG
3634;FELICIO DOS SANTOS;MG
7751;FELIPE GUERRA;RN
9493;FELIPE SCHMIDT;SC
3635;FELISBURGO;MG
7983;FELIX PINTO;RR
3054;FELIXLANDIA;MG
8214;FELIZ;RS
633;FELIZ DESERTO;AL
4600;FELIZ NATAL;MT
1544;FELIZARDO;CE
7080;FELPUDO;PR
7081;FENIX;PR
5175;FERNANDES BELO;PA
7082;FERNANDES PINHEIRO;PR
3055;FERNANDES TOURINHO;MG
5824;FERNANDO DE NORONHA;PE
2706;FERNANDO FALCAO;MA
7752;FERNANDO PEDROZA;RN
10061;FERNANDO PRESTES;SP
10062;FERNANDOPOLIS;SP
10063;FERNAO;SP
3636;FERNAO DIAS;MG
7083;FERNAO DIAS;PR
686;FERRADAS;BA
7084;FERRARIA;PR
10064;FERRAZ DE VASCONCELOS;SP
8215;FERREIRA;RS
215;FERREIRA GOMES;AP
7046;FERREIRAS;PR
3637;FERREIRAS;MG
3638;FERREIROPOLIS;MG
6038;FERREIROS;PE
3639;FERROS;MG
3640;FERRUGINHA;MG
3641;FERVEDOURO;MG
3642;FIDALGO;MG
3643;FIDELANDIA;MG
7047;FIGUEIRA;PR
9494;FIGUEIRA;SC
7048;FIGUEIRA DO OESTE;PR
4529;FIGUEIRAO;MS
10683;FIGUEIROPOLIS;TO
4601;FIGUEIROPOLIS D'OESTE;MT
667;FILADELFIA;BA
10684;FILADELFIA;TO
4602;FILADELFIA;MT
668;FILANESIA;BA
7816;FIRMAMENTO;RN
669;FIRMINO ALVES;BA
2541;FIRMINOPOLIS;GO
7049;FIUSAS;PR
1545;FLAMENGO;CE
5154;FLEXAL;PA
634;FLEXEIRAS;AL
599;FLEXEIRAS;AL
6315;FLOR DA SERRA;PR
7050;FLOR DA SERRA;PR
4603;FLOR DA SERRA;MT
7051;FLOR DA SERRA DO SUL;PR
3644;FLOR DE MINAS;MG
9495;FLOR DO SERTAO;SC
9835;FLORA RICA;SP
7052;FLORAI;PR
3645;FLORALIA;MG
6758;FLORANIA;RN
10065;FLOREAL;SP
6039;FLORES;PE
1765;FLORES;CE
1764;FLORES;CE
9054;FLORES DA CUNHA;RS
2542;FLORES DE GOIAS;GO
6117;FLORES DO PIAUI;PI
9056;FLORESTA;RS
5806;FLORESTA;PE
9055;FLORESTA;RS
8066;FLORESTA;RS
3646;FLORESTA;MG
4972;FLORESTA;PA
7053;FLORESTA;PR
670;FLORESTA AZUL;BA
4973;FLORESTA DO ARAGUAIA;PA
6118;FLORESTA DO PIAUI;PI
10066;FLORESTA DO SUL;SP
3647;FLORESTAL;MG
1304;FLORESTAL;BA
3050;FLORESTINA;MG
7054;FLORESTOPOLIS;PR
7055;FLORIANO;PR
6119;FLORIANO;PI
6757;FLORIANO;RJ
129;FLORIANO PEIXOTO;AM
9057;FLORIANO PEIXOTO;RS
8627;FLORIANOPOLIS;SC
7056;FLORIDA;PR
9058;FLORIDA;RS
10047;FLORIDA PAULISTA;SP
10191;FLORINIA;SP
7057;FLOROPOLIS;PR
7058;FLUVIOPOLIS;PR
3051;FONSECA;MG
4604;FONTANILHAS;MT
130;FONTE BOA;AM
9059;FONTOURA XAVIER;RS
3612;FORMIGA;MG
7059;FORMIGONE;PR
9060;FORMIGUEIRO;RS
6335;FORMIGUEIRO;PR
2543;FORMOSA;GO
2707;FORMOSA DA SERRA NEGRA;MA
7060;FORMOSA DO OESTE;PR
671;FORMOSA DO RIO PRETO;BA
8686;FORMOSA DO SUL;SC
2544;FORMOSO;GO
3613;FORMOSO;MG
